ID,Label,Description
1156896937800544262,Other Mentions,alzheimer
903015107176742912,Other Mentions,alzheimer
1153500928177246208,Figurative Mentions,heart attack
1153827010109591553,Health mentions,migraine
812595272228470784,Other Mentions,parkinson
1153597071863062534,Health mentions,stroke
1148187165521862656,Figurative Mentions,heart attack
813172220549795840,Health mentions,stroke
1153285788215513091,Health mentions,depression
902692150554578944,Other Mentions,parkinson
1158814909259554816,Health mentions,stroke
1158867417654652929,Other Mentions,cancer
1158357382445129728,Other Mentions,parkinson
1153687784923848705,Other Mentions,cancer
1148877960214142976,Health mentions,depression
1153789221229826048,Other Mentions,stroke
812682920716599296,Other Mentions,parkinson
811688031006687234,Other Mentions,alzheimer
1158393679406497792,Figurative Mentions,cough
1156933465293688832,Figurative Mentions,parkinson
1147210312246026241,Figurative Mentions,headache
1153123969542713344,Health mentions,migraine
1153756562038521856,Health mentions,migraine
811690343880097793,Other Mentions,alzheimer
1153135874164625408,Other Mentions,parkinson
811662632105156608,Other Mentions,alzheimer
1153287852161142785,Health mentions,fever
1154042752318918657,Other Mentions,cancer
1153115311673085952,Figurative Mentions,fever
811774122896326656,Health mentions,depression
1155223779787849728,Other Mentions,alzheimer
1153802714783969282,Figurative Mentions,depression
1153257788564561921,Health mentions,fever
1154114176748363776,Other Mentions,parkinson
811689223124348932,Other Mentions,heart attack
1158172019201994753,Figurative Mentions,cough
1153479947677241344,Figurative Mentions,stroke
811717738129399808,Other Mentions,alzheimer
1153258426291691522,Figurative Mentions,fever
1154078831323406337,Other Mentions,heart attack
1153527830187270145,Health mentions,migraine
1158918862890360833,Figurative Mentions,cough
1154061721343913986,Health mentions,stroke
1153127162477608961,Health mentions,headache
1153495753114783744,Figurative Mentions,depression
1153835581220110338,Figurative Mentions,headache
1153840024166604800,Other Mentions,fever
1153253221130895360,Figurative Mentions,fever
1153510600317685760,Health mentions,fever
1154805625458712576,Other Mentions,alzheimer
902677805279969280,Other Mentions,heart attack
1153998711384694785,Other Mentions,cancer
1158360157639675904,Other Mentions,cough
811760297069412352,Health mentions,alzheimer
1148132915798298624,Other Mentions,stroke
1153964968666177536,Other Mentions,fever
1154004468528308224,Other Mentions,cancer
1153745854014074880,Health mentions,fever
1158775908439863302,Figurative Mentions,cough
902663098418552832,Other Mentions,stroke
1147283360798138369,Other Mentions,migraine
905621938776756224,Other Mentions,cancer
1148243531749908480,Figurative Mentions,heart attack
1154474449367789568,Figurative Mentions,fever
1154083126819188736,Health mentions,headache
1153786360727162882,Other Mentions,cancer
811706414162788353,Other Mentions,cancer
813120920181231616,Other Mentions,parkinson
1148318105409486848,Other Mentions,cancer
1158911383431516160,Other Mentions,cough
1158204072094130176,Health mentions,cough
902725693477453825,Other Mentions,cancer
1153429408868261888,Health mentions,fever
1158847718212505600,Other Mentions,parkinson
1158773888232411137,Health mentions,cough
1153291642952138753,Other Mentions,migraine
813205118699143176,Other Mentions,stroke
1158361528510365698,Other Mentions,parkinson
1153596647814811649,Other Mentions,fever
1158955472017166336,Other Mentions,cough
813188278061060096,Figurative Mentions,stroke
905513687456337920,Other Mentions,stroke
1153777120977383424,Other Mentions,stroke
1153142355442188288,Figurative Mentions,heart attack
1158153182499000320,Figurative Mentions,cough
1154398451632889856,Other Mentions,alzheimer
1147357748956409856,Health mentions,migraine
1153117758181269504,Figurative Mentions,stroke
1147436580463767552,Health mentions,headache
811681761872773120,Figurative Mentions,heart attack
1157069930329706502,Health mentions,cough
1158783483826835456,Health mentions,cough
1147067179415683073,Figurative Mentions,headache
1153424735776235520,Other Mentions,parkinson
1148834254593363968,Other Mentions,parkinson
1153593837656276993,Other Mentions,parkinson
905523054599659523,Figurative Mentions,heart attack
1155963448347389953,Other Mentions,parkinson
811667671976738816,Figurative Mentions,heart attack
1158878769224081408,Figurative Mentions,cough
1153209589741096960,Other Mentions,parkinson
1153201825987751936,Figurative Mentions,headache
1158832472152518658,Figurative Mentions,cough
1147396791257534464,Other Mentions,headache
905598281761349633,Other Mentions,parkinson
1158772240873328646,Other Mentions,parkinson
1153842426521378816,Health mentions,fever
1154067332739633152,Figurative Mentions,fever
1153732857409482752,Other Mentions,fever
1153105961529331714,Health mentions,headache
1153788257454288897,Other Mentions,depression
1154756410682404869,Other Mentions,alzheimer
1153462300432588801,Health mentions,cancer
1153748746829729792,Figurative Mentions,heart attack
1154054160817561602,Other Mentions,parkinson
1153625551812218880,Other Mentions,heart attack
811701534736138240,Health mentions,cancer
1147299065232801792,Health mentions,migraine
811742907929600000,Other Mentions,alzheimer
1153719868807684097,Other Mentions,fever
811678418039402496,Figurative Mentions,heart attack
813234808801337344,Other Mentions,stroke
905555862315573249,Figurative Mentions,cancer
905538364840960000,Other Mentions,depression
902666021831548930,Other Mentions,alzheimer
1153290597731450882,Other Mentions,stroke
1153589465530560514,Figurative Mentions,heart attack
811662451116769285,Figurative Mentions,heart attack
1148296271138054145,Health mentions,depression
1153725086534438913,Figurative Mentions,depression
1153622058280112129,Other Mentions,depression
903020022964121601,Other Mentions,stroke
1147352287364468736,Health mentions,headache
1153759312952664065,Other Mentions,stroke
1147174876362485760,Health mentions,migraine
811762925232918528,Other Mentions,depression
1148254923915714560,Other Mentions,parkinson
1154512925526122496,Other Mentions,alzheimer
811773909196541953,Health mentions,depression
1153842231742291970,Health mentions,headache
